a,b,c,d,e,f,g,h,i,j,k,l,auc,infer_time
0,0,0,1,0,1,1,0,0,1,1,1,0.535714286,0.743020296
0,0,0,1,0,1,1,0,1,0,0,0,0.535714286,0.781164646
0,0,0,1,0,1,1,0,1,0,0,1,0.535714286,0.730723619
0,0,0,1,0,1,1,0,1,0,1,0,0.535714286,0.739113808
0,0,0,1,0,1,1,0,1,0,1,1,0.535714286,0.792183399
0,0,0,1,0,1,1,0,1,1,0,0,0.535714286,0.789640188
0,0,0,1,0,1,1,0,1,1,0,1,0.535714286,0.814792156
0,0,0,1,0,1,1,0,1,1,1,0,0.535714286,0.839148283
0,0,0,1,0,1,1,0,1,1,1,1,0.535714286,0.766955137
0,0,0,1,0,1,1,1,0,0,0,0,0.464285714,0.740376949
0,0,0,1,0,1,1,1,0,0,0,1,0.464285714,0.759709358
0,0,0,1,0,1,1,1,0,0,1,0,0.464285714,0.767991304
0,0,0,1,0,1,1,1,0,0,1,1,0.464285714,0.796069622
0,0,0,1,0,1,1,1,0,1,0,0,0.464285714,0.733619213
0,0,0,1,0,1,1,1,0,1,0,1,0.464285714,0.750216961
0,0,0,1,0,1,1,1,0,1,1,0,0.464285714,0.783699989
0,0,0,1,0,1,1,1,0,1,1,1,0.464285714,0.74665451
0,0,0,1,0,1,1,1,1,0,0,0,0.464285714,0.780807018
0,0,0,1,0,1,1,1,1,0,0,1,0.464285714,0.782270908
0,0,0,1,0,1,1,1,1,0,1,0,0.464285714,0.812127113
0,0,0,1,0,1,1,1,1,0,1,1,0.464285714,0.765916348
0,0,0,1,0,1,1,1,1,1,0,0,0.464285714,0.758395433
0,0,0,1,0,1,1,1,1,1,0,1,0.464285714,0.748557806
0,0,0,1,0,1,1,1,1,1,1,0,0.464285714,0.884426355
0,0,0,1,0,1,1,1,1,1,1,1,0.464285714,0.729684591
0,0,0,1,1,0,0,0,0,0,0,0,0.464285714,0.221904278
